,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
23-Mar,1200,,,,1250,60,60,81,45,110,52,55,682,52,382,1060,640,1190,647,976,60,337,75,203,663,1542,36,98,56,187,521,56,897,253,130,592,472,249,544,168,1685,125,125,158,125,223,1166,820,226,536,227,227,1775,1564,605,515,498,60,650
24-Mar,2430,,,,100,57,56,430,191,55,51,99,671,52,1540,574,876,1130,214,975,60,1260,125,166,742,1699,36,115,56,157,531,56,555,263,168,546,418,287,120,586,1664,125,125,125,125,1885,1486,1608,227,351,272,225,1706,1212,637,1591,378,60,550
25-Mar,768,,,,75,56,56,56,207,54,51,1380,51,660,1170,673,1180,999,53,183,60,1880,159,45,263,1469,36,210,115,1263,590,56,56,238,179,1614,522,207,228,1242,1030,125,125,125,216,1761,905,1667,225,351,273,227,1759,660,1354,651,507,60,636
26-Mar,70,,,,832,54,440,129,250,54,50,1760,50,205,83,591,657,1890,51,24,60,2730,169,44,312,974,36,56,56,152,590,56,979,197,137,2153,179,228,556,698,1432,125,125,248,125,810,352,266,223,428,257,228,1706,363,715,629,501,60,243
27-Mar,156,,,,770,304,60,48,782,204,49,771,49,52,1650,900,87,1930,49,22,320,1840,499,46,401,954,124,996,56,787,498,56,1149,836,137,2041,130,267,614,709,1260,248,187,125,227,1033,233,267,476,391,223,227,965,398,578,639,386,60,478
28-Mar,68,,,,491,231,59,140,1990,162,219,51,48,51,507,1010,171,2620,48,21,480,1760,541,44,56,1661,41,187,56,115,612,56,640,730,120,2177,215,276,561,715,900,125,125,125,125,1096,235,125,352,398,392,227,891,1148,497,631,488,60,468
29-Mar,68,,,,420,232,183,217,61,54,48,48,46,51,764,2100,56,2760,188,20,60,1690,321,44,1135,1125,24,151,56,127,708,56,600,603,148,1853,217,405,130,454,950,125,125,187,202,410,238,0,220,328,304,228,1128,1170,232,636,468,60,416
30-Mar,66,,,,1020,56,1890,657,204,53,47,47,228,51,544,1520,55,1280,63,300,60,1920,47,46,262,1133,24,84,56,511,649,56,676,1283,642,681,442,298,120,346,1637,125,125,125,125,831,367,0,613,260,223,227,1144,1035,258,632,492,60,479
31-Mar,66,,,,1910,55,428,336,160,51,47,138,47,52,60,949,87,1520,397,26,60,1690,1450,44,1182,1178,24,56,56,2101,697,56,56,2500,674,1229,1400,346,179,768,2004,125,125,187,125,2041,1575,0,539,286,606,228,1125,1046,251,1593,498,60,233
1-Apr,67,,,,1880,52,55,53,162,207,177,49,322,67,470,52,1050,1580,460,96,60,1590,1320,43,1053,1165,24,130,98,1539,672,56,54,2500,780,1566,2094,298,145,704,2032,125,125,120,125,2045,782,0,222,276,510,224,1221,812,238,616,526,60,240
