,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
20-Nov,56,148,1196,1007,1026,312,46,595,321,284,120,151,582,559,936,543,241,210,627,160,841,268,284,262,1346,519,288,1544,238,235,1157,231,155,1059,0
21-Nov,56,1997,1104,970,995,258,96,625,323,380,165,146,691,563,958,545,99,148,761,523,863,435,242,236,1252,604,297,1542,222,713,1336,247,188,1335,0
22-Nov,984,1361,304,1035,717,311,46,625,152,326,140,671,578,583,1027,136,89,476,738,171,868,1111,731,232,1386,572,241,1537,178,748,1137,249,175,1343,0
23-Nov,987,1494,261,273,728,264,46,601,162,312,151,644,545,467,91,160,80,483,146,156,822,1525,954,492,575,617,265,620,228,449,1115,246,156,779,0
24-Nov,1218,1928,312,322,1118,293,36,618,333,312,147,614,579,479,230,459,634,419,142,164,815,1292,1296,232,616,520,300,210,224,479,1076,245,156,438,0
25-Nov,1087,2221,290,978,1114,425,540,507,334,316,920,609,570,456,979,465,142,152,151,189,734,1911,803,228,617,522,252,756,219,467,1077,865,161,811,0
26-Nov,977,2431,288,1022,1114,465,56,614,612,286,868,622,615,506,901,776,151,181,147,150,746,2422,1025,229,597,590,390,1500,203,235,1364,197,162,1366,0
27-Nov,413,2568,381,446,701,481,56,880,826,323,807,148,579,705,923,533,140,143,179,142,859,219,1172,289,1595,639,298,1498,238,230,1422,1228,162,1334,0
28-Nov,46,2560,413,422,758,471,56,1208,824,317,849,148,625,732,930,512,148,151,145,177,339,1899,916,245,1433,541,300,1498,201,757,1626,1455,161,1337,0
29-Nov,1151,1754,579,416,405,471,56,1161,876,339,850,134,620,1087,937,552,183,740,146,149,282,899,782,268,1312,541,247,1496,222,728,1652,1342,170,1338,0
30-Nov,1240,1140,420,411,402,402,56,1721,854,321,2202,134,638,1835,525,545,187,842,163,134,334,250,936,249,694,551,252,589,217,997,1609,330,171,776,0
1-Dec,217,1065,298,297,1392,408,56,1215,687,329,1857,148,653,719,520,468,146,847,140,124,357,1689,1201,207,599,374,292,264,221,891,1144,403,171,245,0
2-Dec,691,655,274,627,1348,387,56,911,733,336,1848,137,596,209,1073,457,293,714,152,121,590,797,1065,232,758,520,302,235,198,920,1130,1165,172,276,0
3-Dec,640,1531,1040,1497,1395,446,56,925,859,120,1872,135,451,199,1053,522,295,688,256,146,761,2211,1025,226,922,558,263,191,217,925,449,1193,153,542,0
4-Dec,280,1926,992,1462,1392,403,56,1682,1805,94,1851,165,453,1350,986,477,309,528,151,151,708,2446,1186,310,1281,443,210,601,231,941,446,901,169,1134,0
5-Dec,36,2720,1082,481,1278,402,76,1266,1831,141,1051,199,821,1373,1032,546,280,527,442,145,771,1950,1026,1791,891,497,220,1535,211,935,447,1157,173,1135,0
6-Dec,1645,1029,2090,515,545,423,56,1221,311,156,1065,158,1025,1334,1003,178,299,916,444,154,968,1507,1134,1342,944,469,239,1532,217,1516,415,1199,178,1171,0
7-Dec,606,1005,1942,26,547,442,46,1172,36,153,1257,157,985,1316,525,151,591,922,213,156,828,583,1509,1254,1360,439,260,649,216,1796,509,1114,176,1914,0
8-Dec,564,1382,155,26,1032,345,56,1345,36,153,1222,211,1009,1363,554,328,353,933,161,925,563,2059,1314,1712,1325,428,262,228,220,1817,333,823,234,2708,0
9-Dec,645,6.00000000000001,155,1485,1043,441,46,336,36,144,1190,201,1014,207,986,362,475,364,148,125,903,291,826,1238,1320,462,183,228,184,1714,384,1475,240,2708,0
10-Dec,609,16,264,1472,1071,472,56,356,468,158,1242,211,990,171,1011,353,447,373,137,135,1038,594,1408,231,421,433,323,181,235,1114,843,1646,220,2704,0
11-Dec,132,36,265,1454,998,418,56,733,460,126,1209,208,1004,1681,959,344,406,169,143,143,1063,354,962,235,520,455,157,1105,179,213,848,1158,228,2674,0
12-Dec,56,36,287,263,987,441,190,1845,449,136,468,201,1115,1700,1032,553,551,165,620,154,1102,314,851,940,448,492,266,2727,227,184,230,1251,158,2638,0
13-Dec,649,26,326,263,594,420,157,1877,439,148,469,208,436,998,1020,282,585,337,144,160,1156,1602,1949,234,422,466,276,2703,224,1428,317,1160,189,2529,0
14-Dec,533,26,307,1472,465,451,168,1919,472,155,706,207,458,1021,524,254,713,481,156,169,847,1707,2000,1478,451,434,242,768,210,2020,248,874,221,1359,0
15-Dec,687,16,173,1873,918,393,175,1878,292,155,687,148,472,528,532,379,1367,520,162,143,731,922,1909,723,677,495,266,228,234,1686,251,872,281,1149,0
16-Dec,580,36,177,1435,976,313,165,1956,283,1183,677,203,462,203,810,404,1076,448,190,219,1121,1908,1504,235,254,480,243,1058,234,1810,259,612,197,1165,0
17-Dec,672,46,285,683,973,298,165,1293,453,1156,660,136,456,189,785,397,1131,494,175,450,1237,2457,1413,236,244,474,280,1119,203,1519,259,823,196,1228,0
18-Dec,308,56,293,801,1056,324,154,1283,618,1101,685,138,526,949,1432,389,1061,122,145,427,1263,2628,534,228,737,413,179,1889,264,1166,228,814,277,1355,0
19-Dec,56,56,277,1485,1015,293,223,1000,619,1130,405,129,550,770,2256,381,136,40,139,398,1284,2530,482,1080,370,400,271,429,199,1616,254,769,235,1353,0
20-Dec,465,136,267,1481,492,283,232,982,616,1186,171,128,527,752,2807,146,144,480,572,1240,1309,2474,1837,1861,876,408,272,812,177,1482,308,784,238,1297,0
21-Dec,664,26,279,1462,534,471,224,1911,620,149,2072,460,477,761,2124,150,329,915,129,1130,789,2532,335,1872,288,405,281,2036,195,1403,256,226,240,974,0
22-Dec,666,26,170,270,1170,467,234,2491,105,143,2113,147,478,1128,1229,357,204,1427,68,573,797,2223,748,1365,289,402,248,2573,217,224,252,645,244,1069,0
23-Dec,653,36,158,196,941,451,215,2629,125,321,938,399,469,203,1920,336,475,879,114,159,1289,713,972,210,223,446,239,2198,258,228,251,1119,254,628,0
24-Dec,663,922,279,283,880,453,224,2149,130,320,2056,341,492,204,1874,366,500,306,131,288,1338,1846,733,220,410,398,243,1442,212,238,257,1090,270,278,0
25-Dec,173,1340,303,2063,556,413,234,454,375,948,2103,378,470,186,1481,180,353,119,130,239,744,1395,777,235,539,360,249,204,227,248,257,1575,300,223,0
26-Dec,247,590,544,1976,495,447,244,460,392,939,2036,378,474,1591,1454,157,374,116,127,238,1354,268,609,838,1165,528,206,1535,207,230,263,1563,216,177,0
27-Dec,918,45,570,749,549,66,36,263,871,960,2062,575,442,1601,1470,152,378,227,131,571,1306,262,781,1148,591,512,257,1493,179,1914,255,1666,290,269,0
28-Dec,977,32,581,747,524,46,36,265,391,948,2765,411,466,1588,139,153,1149,635,184,622,791,289,778,405,479,490,255,2425,240,1701,252,1686,277,1199,0
29-Dec,901,122,283,752,531,164,46,286,386,507,2758,618,478,1542,145,403,1108,137,180,133,750,1541,1075,242,581,443,188,2798,205,2264,252,1680,282,1113,0
30-Dec,942,32,283,763,615,46,36,239,364,1177,2763,1495,479,286,266,402,1058,141,196,155,606,1460,1460,222,274,376,249,2793,223,1681,250,1700,281,2184,0
31-Dec,1104,46,283,739,1313,46,46,305,658,1160,2778,266,270,272,288,405,1059,141,185,517,1330,231,590,217,272,305,252,2778,213,230,251,1647,186,2802,0
