,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
10-Mar,26,495,46,36,501,933,336,36,260,1153,164,784,1442,1748,413,595,361,154,655,150,565,935,488,1102,680,509,251,236,687,1942,612,229,752,698,1853
11-Mar,56,470,56,313,391,945,353,46,165,1110,137,696,1427,149,375,639,342,148,136,149,1580,1114,536,962,329,495,242,224,1018,2027,1319,774,710,1363,1493
12-Mar,36,26,196,283,491,999,349,36,911,1165,117,725,1408,155,145,618,514,349,141,104,2026,926,477,231,673,498,248,216,1315,1564,609,1151,699,764,1395
13-Mar,56,26,36,254,205,1327,410,46,260,1153,128,383,1400,967,117,609,541,143,170,1035,1780,1056,264,234,1014,524,282,224,863,1499,649,855,677,630,1341
14-Mar,56,486,36,273,36,431,396,56,1118,1193,141,397,1388,939,128,614,227,148,130,132,142,977,166,495,816,335,216,221,1059,1862,644,599,516,811,1857
15-Mar,215,463,46,296,46,36,429,166,260,1184,209,329,630,949,150,587,296,154,130,135,129,240,266,758,231,590,249,230,1134,1939,669,595,223,687,1319
16-Mar,396,1065,36,36,46,137,622,26,282,1164,141,337,603,947,161,623,519,150,134,121,141,243,256,1934,982,863,241,232,1376,1797,355,556,229,667,1440
17-Mar,420,260,36,26,36,128,413,46,235,327,144,139,551,509,159,587,413,150,131,141,210,537,898,1956,572,522,236,230,1601,1787,599,1497,1086,642,1767
18-Mar,1056,278,36,151,86,127,391,46,1193,574,189,248,576,288,349,627,161,130,136,133,183,573,245,1034,424,547,236,230,1503,1540,1366,600,204,693,1375
19-Mar,896,36,36,150,36,166,393,56,2667,627,135,143,430,273,504,604,174,170,138,142,151,627,270,302,450,515,240,226,1577,1216,616,551,275,688,340
20-Mar,736,36,0,110,1401,150,509,36,2602,602,134,169,380,265,1068,686,247,139,149,145,132,629,245,400,450,519,253,227,807,1185,613,607,374,634,335
21-Mar,1775,1561,0,96,1228,137,497,66,2545,584,134,156,502,267,1081,596,180,142,161,154,171,634,295,932,273,532,216,226,1320,1546,627,596,453,300,654
22-Mar,902,1557,0,90,1287,139,504,56,1022,961,185,411,510,239,1081,134,179,160,149,178,389,254,257,732,277,1349,230,226,1289,1558,627,617,438,755,638
23-Mar,723,1542,0,98,26,167,517,46,927,206,152,538,490,262,512,144,1785,142,106,155,129,259,1186,844,239,560,228,225,1941,1550,614,579,503,593,593
24-Mar,702,1699,46,95,26,117,517,66,595,232,150,517,468,248,135,611,1647,147,140,148,133,1850,1448,1633,234,371,242,224,1809,1191,641,1603,402,641,606
25-Mar,293,1539,36,180,85,1343,581,46,26,233,155,2092,508,264,263,1230,1019,142,142,140,150,1752,1054,1678,207,342,239,246,1849,697,1373,601,481,776,592
26-Mar,292,884,36,146,36,142,564,46,1029,213,152,2177,146,255,549,746,1406,147,141,169,126,821,243,253,243,278,224,236,1900,361,632,627,492,679,329
27-Mar,401,954,0,966,36,747,541,46,1059,831,152,2015,198,254,556,729,1314,168,146,146,228,1035,273,225,511,494,241,223,1164,393,589,652,395,679,430
28-Mar,26,1671,0,177,96,145,613,46,620,835,122,2169,211,312,523,717,921,143,129,136,124,1120,239,162,281,437,420,222,1062,1142,559,579,501,762,431
29-Mar,1135,1115,0,171,36,147,683,46,650,634,129,1817,205,342,155,390,919,131,100,159,138,354,237,97,220,271,244,243,1261,1157,259,638,467,694,434
30-Mar,292,1203,0,94,36,491,669,56,666,1221,720,634,410,308,144,370,1698,120,118,154,136,811,352,95,522,323,252,213,1292,1063,222,625,506,725,489
31-Mar,1192,1108,0,46,96,2131,725,56,26,2909,698,1191,1399,313,159,782,2014,126,130,161,143,2085,1623,115,549,257,596,221,1306,1014,328,1596,514,472,288
1-Apr,1103,1205,0,90,108,1469,667,56,34,3017,750,1627,2098,308,60,720,2029,129,138,156,150,2042,689,124,297,259,542,237,1367,849,202,625,536,124,196
2-Apr,250,366,0,95,96,530,681,54,623,2998,721,2283,2090,302,102,742,1950,128,137,155,147,240,271,604,235,507,590,215,1327,432,253,612,478,62,286
3-Apr,16,376,0,46,102,1771,651,56,766,2982,736,2664,2009,311,132,728,1801,131,157,150,146,244,275,1458,732,571,477,243,545,433,360,655,442,113,227
4-Apr,6.00000000000001,1700,0,66,96,464,679,136,738,3008,400,2542,1890,317,116,738,620,139,179,145,161,301,251,1687,297,694,241,229,371,1147,418,685,455,206,280
5-Apr,1257,1453,0,36,104,479,709,36,632,2990,135,2621,1892,303,143,136,642,370,157,149,142,265,435,1608,247,542,235,228,203,1173,1375,702,246,182,231
6-Apr,1979,967,0,96,95,458,734,36,917,3003,144,2701,1958,389,283,131,797,495,132,161,150,255,241,2191,246,461,248,438,213,1196,1252,627,229,280,244
7-Apr,1394,1728,0,36,105,466,497,36,16,1848,127,2239,2010,316,285,367,754,632,129,145,145,259,241,1019,295,365,241,229,221,1146,1073,1526,250,273,235
8-Apr,898,1863,0,86,95,496,475,46,26,1814,124,2098,2097,294,49,500,793,700,135,145,148,256,256,1060,285,372,233,255,204,1230,1040,641,231,144,198
9-Apr,126,2097,0,63,115,549,570,46,370,1287,150,2187,2114,303,138,499,762,721,129,205,123,262,190,745,194,501,236,229,241,783,1365,605,230,1193,245
10-Apr,26,2022,0,56,126,548,534,56,352,1332,136,920,2051,504,123,496,671,691,132,730,134,273,244,336,398,488,243,233,241,849,1380,724,265,1514,234
11-Apr,26,2052,0,106,159,531,566,924,349,2034,115,944,2023,619,132,485,291,707,118,702,143,304,232,2032,253,558,231,237,195,1044,1389,611,199,1509,236
12-Apr,244,2085,0,26,92,948,579,991,350,1990,163,2191,2056,603,118,150,195,650,139,134,141,1399,248,2009,266,599,220,222,179,1097,1390,1606,219,1509,238
13-Apr,257,2058,0,86,85,1988,580,26,238,554,575,2135,1913,624,328,100,742,690,136,141,153,1391,263,2156,228,730,227,222,247,1216,1343,1602,225,1497,806
14-Apr,287,1974,0,36,85,1922,622,26,26,177,581,2260,2249,645,162,697,765,515,136,135,155,987,258,1535,229,222,399,219,229,1224,422,1598,252,1602,234
15-Apr,265,2005,0,86,86,2017,567,36,36,796,381,2280,1750,504,15,648,798,499,139,141,144,1729,800,481,219,171,334,223,302,1129,421,1599,339,1605,331
16-Apr,26,1971,0,26,95,2159,580,26,355,477,407,2311,1991,498,112,627,1166,519,142,141,140,1373,267,238,254,224,448,250,222,886,632,1579,341,1608,383
17-Apr,56,1909,0,96,86,2782,571,46,348,1112,437,654,2095,473,184,628,630,267,141,622,151,922,254,307,159,205,388,216,218,2016,626,1578,346,1185,553
18-Apr,56,1815,0,26,86,2950,580,96,557,1131,536,684,2136,854,126,649,1946,261,150,688,145,1347,247,513,262,222,422,234,238,1962,630,1591,262,144,436
19-Apr,146,1730,0,96,105,2763,559,46,1235,1177,510,1171,2131,884,74,159,525,266,147,713,94,527,431,601,300,233,246,226,233,2059,1035,1594,262,212,393
20-Apr,245,1420,0,36,118,2770,537,36,349,1518,762,1219,2057,848,217,120,1891,258,161,115,122,474,539,522,333,342,221,221,267,2051,685,1592,231,1794,391
21-Apr,967,1838,0,86,134,2780,420,46,26,1476,948,1200,2003,827,100,678,2761,253,142,113,87,1939,506,268,265,322,378,227,203,2062,258,1589,217,2748,234
22-Apr,172,1029,0,522,170,2750,393,56,100,1504,1573,1217,2044,703,45,664,2949,327,131,123,149,1564,565,295,275,318,473,225,224,2035,229,1588,195,2746,236
23-Apr,272,343,0,114,155,2740,404,56,1170,1381,1442,1016,151,748,177,618,2863,276,135,94,147,1436,475,248,248,774,508,215,214,1272,283,1588,304,2631,289
24-Apr,56,453,0,26,258,2740,386,147,1396,1720,1454,140,181,823,120,652,2964,259,107,87,159,1591,188,265,796,373,476,240,213,910,317,1574,428,2718,221
25-Apr,56,751,0,96,273,2645,564,463,1492,1813,1166,129,311,826,120,627,1843,267,235,170,130,1666,159,721,1259,676,473,192,216,551,511,1594,393,2720,259
26-Apr,215,1685,0,26,272,2540,392,953,1847,1797,1187,859,401,829,135,650,1621,258,1159,147,190,1292,238,672,779,732,473,237,467,647,760,1591,391,2720,212
27-Apr,311,1727,0,46,272,2790,392,311,1432,346,934,866,124,847,113,666,2404,254,894,141,135,1314,242,903,1076,699,446,417,475,814,784,966,388,1600,212
28-Apr,195,1819,0,94,263,2760,409,603,26,382,909,840,749,818,109,634,2105,259,101,140,140,1199,768,1177,1155,276,542,374,356,946,908,1212,367,760,243
29-Apr,222,899,0,520,263,2026,444,350,46,795,898,832,417,395,201,679,2482,264,95,146,139,1221,207,929,1422,278,436,374,375,869,718,1164,337,663,266
