DATE,AF,IN,QD
1998-10-29,20892.803,-1.162,0.0
1998-10-30,20891.074,-0.871,0.0
1998-10-31,20888.77,-1.162,0.0
1998-11-01,20888.77,0.0,0.0
1998-11-02,20900.869,6.1,0.0
1998-11-03,20912.969,6.1,0.0
1998-11-04,20925.068,6.1,0.0
1998-11-05,20937.168,6.1,0.0
1998-11-06,20949.268,6.1,0.0
1998-11-07,20961.367,6.1,0.0
1998-11-08,20973.467,6.1,0.0
1998-11-09,20985.566,6.1,0.0
1998-11-10,20997.666,6.1,0.0
1998-11-11,21009.766,6.1,0.0
1998-11-12,21021.865,6.1,0.0
1998-11-13,21033.965,6.1,0.0
1998-11-14,21046.064,6.1,0.0
1998-11-15,21058.164,6.1,0.0
1998-11-16,21070.264,6.1,0.0
1998-11-17,21082.363,6.1,0.0
1998-11-18,21094.463,6.1,0.0
1998-11-19,21107.139,6.391,0.0
1998-11-20,21119.238,6.1,0.0
1998-11-21,21131.914,6.391,0.0
1998-11-22,21144.014,6.1,0.0
1998-11-23,21156.689,6.391,0.0
1998-11-24,21168.789,6.1,0.0
1998-11-25,21181.465,6.391,0.0
1998-11-26,21193.564,6.1,0.0
1998-11-27,21206.24,6.391,0.0
1998-11-28,21218.34,6.1,0.0
1998-11-29,21231.016,6.391,0.0
1998-11-30,21243.115,6.1,0.0
1998-12-01,21267.891,12.491,0.0
1998-12-02,21292.666,12.491,0.0
1998-12-03,21317.441,12.491,0.0
1998-12-04,21342.217,12.491,0.0
1998-12-05,21366.992,12.491,0.0
1998-12-06,21391.768,12.491,0.0
1998-12-07,21416.543,12.491,0.0
1998-12-08,21441.318,12.491,0.0
1998-12-09,21466.094,12.491,0.0
1998-12-10,21490.869,12.491,0.0
1998-12-11,21515.645,12.491,0.0
1998-12-12,21540.42,12.491,0.0
1998-12-13,21565.195,12.491,0.0
1998-12-14,21589.971,12.491,0.0
1998-12-15,21614.746,12.491,0.0
1998-12-16,21639.521,12.491,0.0
1998-12-17,21664.297,12.491,0.0
1998-12-18,21689.072,12.491,0.0
1998-12-19,21713.848,12.491,0.0
1998-12-20,21738.623,12.491,0.0
1998-12-21,21763.398,12.491,0.0
1998-12-22,21788.174,12.491,0.0
1998-12-23,21812.949,12.491,0.0
1998-12-24,21837.725,12.491,0.0
1998-12-25,21862.5,12.491,0.0
1998-12-26,21887.275,12.491,0.0
1998-12-27,21912.051,12.491,0.0
1998-12-28,21936.826,12.491,0.0
1998-12-29,21961.025,12.2,0.0
1998-12-30,21985.801,12.491,0.0
1998-12-31,22010.0,12.2,0.0
1999-01-01,22005.967,-2.033,0.0
1999-01-02,22001.934,-2.033,0.0
1999-01-03,21997.9,-2.033,0.0
1999-01-04,21993.867,-2.033,0.0
1999-01-05,21989.834,-2.033,0.0
1999-01-06,21985.801,-2.033,0.0
1999-01-07,21981.768,-2.033,0.0
1999-01-08,21978.311,-1.743,0.0
1999-01-09,21974.277,-2.033,0.0
1999-01-10,21970.82,-1.743,0.0
1999-01-11,21966.787,-2.033,0.0
1999-01-12,21963.33,-1.743,0.0
1999-01-13,21959.297,-2.033,0.0
1999-01-14,21955.84,-1.743,0.0
1999-01-15,21951.807,-2.033,0.0
1999-01-16,21948.35,-1.743,0.0
1999-01-17,21944.316,-2.033,0.0
1999-01-18,21940.283,-2.033,0.0
1999-01-19,21936.826,-1.743,0.0
1999-01-20,21933.369,-1.743,0.0
1999-01-21,21929.336,-2.033,0.0
1999-01-22,21925.879,-1.743,0.0
1999-01-23,21921.846,-2.033,0.0
1999-01-24,21918.389,-1.743,0.0
1999-01-25,21914.355,-2.033,0.0
1999-01-26,21910.898,-1.743,0.0
1999-01-27,21906.865,-2.033,0.0
1999-01-28,21903.408,-1.743,0.0
1999-01-29,21899.375,-2.033,0.0
1999-01-30,21895.918,-1.743,0.0
1999-01-31,21891.885,-2.033,0.0
1999-02-01,21889.58,-1.162,0.0
1999-02-02,21887.275,-1.162,0.0
1999-02-03,21884.971,-1.162,0.0
1999-02-04,21882.666,-1.162,0.0
1999-02-05,21880.361,-1.162,0.0
1999-02-06,21878.057,-1.162,0.0
1999-02-07,21875.752,-1.162,0.0
1999-02-08,21873.447,-1.162,0.0
1999-02-09,21871.719,-0.871,0.0
1999-02-10,21869.414,-1.162,0.0
1999-02-11,21867.686,-0.871,0.0
1999-02-12,21865.381,-1.162,0.0
1999-02-13,21863.652,-0.871,0.0
1999-02-14,21861.348,-1.162,0.0
1999-02-15,21859.043,-1.162,0.0
1999-02-16,21857.314,-0.871,0.0
1999-02-17,21855.586,-0.871,0.0
1999-02-18,21853.281,-1.162,0.0
1999-02-19,21851.553,-0.871,0.0
1999-02-20,21849.248,-1.162,0.0
1999-02-21,21847.52,-0.871,0.0
1999-02-22,21845.215,-1.162,0.0
1999-02-23,21843.486,-0.871,0.0
1999-02-24,21841.182,-1.162,0.0
1999-02-25,21839.453,-0.871,0.0
1999-02-26,21837.148,-1.162,0.0
1999-02-27,21835.42,-0.871,0.0
