DATE,AF,CHSTOR,IN,QD
1990-07-09,132233.0,1469.672,788.804,47.844
1990-07-10,133553.219,1320.219,713.879,48.268
1990-07-11,134548.797,995.578,570.151,68.213
1990-07-12,135395.422,846.625,621.585,194.744
1990-07-13,136030.766,635.344,581.373,261.054
1990-07-14,136636.547,605.781,615.244,309.829
1990-07-15,137213.234,576.688,601.48,310.733
1990-07-16,137670.438,457.203,552.393,321.887
1990-07-17,138036.797,366.359,545.403,360.696
1990-07-18,138281.031,244.234,519.547,396.412
1990-07-19,138281.031,0.0,530.516,530.516
1990-07-20,138188.703,-92.328,554.052,600.601
1990-07-21,138342.094,153.391,674.67,597.336
1990-07-22,138706.969,364.875,781.357,597.399
1990-07-23,138829.078,122.109,659.154,597.591
1990-07-24,138860.359,31.281,612.285,596.514
1990-07-25,138951.203,90.844,641.152,595.351
1990-07-26,139043.531,92.328,565.484,518.935
1990-07-27,139500.734,457.203,586.031,355.524
1990-07-28,139957.938,457.203,526.462,295.956
1990-07-29,140479.797,521.859,559.56,296.456
1990-07-30,140787.5,307.703,451.428,296.294
1990-07-31,141125.219,337.719,467.099,296.833
1990-08-01,141186.766,61.547,327.582,296.552
1990-08-02,141402.906,216.141,406.104,297.133
1990-08-03,141432.922,30.016,355.253,340.12
1990-08-04,141341.359,-91.562,356.117,402.28
1990-08-05,141218.281,-123.078,341.248,403.3
1990-08-06,141156.734,-61.547,371.903,402.933
1990-08-07,140911.0,-245.734,282.104,405.995
1990-08-08,140849.047,-61.953,373.201,404.436
1990-08-09,140664.422,-184.625,384.303,477.385
1990-08-10,140142.078,-522.344,292.162,555.511
1990-08-11,139561.797,-580.281,341.072,633.631
1990-08-12,138829.078,-732.719,320.404,689.816
1990-08-13,137975.734,-853.344,310.483,740.711
1990-08-14,136787.266,-1188.469,287.361,886.548
1990-08-15,135577.156,-1210.109,264.98,875.077
1990-08-16,134367.047,-1210.109,263.823,873.92
1990-08-17,133163.438,-1203.609,267.573,874.393
1990-08-18,132021.953,-1141.484,293.718,869.217
1990-08-19,130971.305,-1050.648,338.555,868.257
1990-08-20,129811.852,-1159.453,282.513,867.071
1990-08-21,128799.359,-1012.492,274.766,785.231
1990-08-22,128026.555,-772.805,320.07,709.693
1990-08-23,127347.617,-678.938,331.407,673.704
1990-08-24,126579.867,-767.75,290.228,677.302
1990-08-25,125754.5,-825.367,262.661,678.783
1990-08-26,124841.391,-913.109,216.151,676.51
1990-08-27,123700.633,-1140.758,190.101,765.234
1990-08-28,122472.781,-1227.852,218.407,837.449
1990-08-29,120992.102,-1480.68,182.999,929.509
1990-08-30,119281.32,-1710.781,174.218,1036.737
1990-08-31,117816.5,-1464.82,296.324,1034.838
1990-09-01,116380.5,-1436.0,307.228,1031.212
1990-09-02,114927.797,-1452.703,296.098,1028.503
1990-09-03,113533.977,-1393.82,324.648,1027.366
1990-09-04,111897.633,-1636.344,234.63,1059.621
1990-09-05,110062.398,-1835.234,163.885,1089.15
1990-09-06,108226.766,-1835.633,145.144,1070.609
1990-09-07,106702.078,-1524.688,286.474,1055.171
1990-09-08,105179.414,-1522.664,279.457,1047.134
1990-09-09,103671.625,-1507.789,292.921,1053.098
1990-09-10,102192.883,-1478.742,299.254,1044.787
1990-09-11,100645.242,-1547.641,252.408,1032.677
1990-09-12,99047.625,-1597.617,222.023,1027.489
1990-09-13,97407.094,-1640.531,225.913,1053.015
1990-09-14,95671.336,-1735.758,200.743,1075.855
1990-09-15,94048.992,-1622.344,255.453,1073.385
1990-09-16,92386.07,-1662.922,258.583,1096.974
1990-09-17,90786.164,-1599.906,237.538,1044.158
1990-09-18,89193.812,-1592.352,215.429,1018.24
1990-09-19,87899.75,-1294.062,320.485,972.909
1990-09-20,87278.742,-621.008,455.846,768.938
1990-09-21,86762.5,-516.242,329.601,589.873
1990-09-22,86273.32,-489.18,328.815,575.443
1990-09-23,85736.031,-537.289,307.426,578.309
1990-09-24,85274.961,-461.07,291.214,523.67
1990-09-25,85018.812,-256.148,306.195,435.337
1990-09-26,84737.672,-281.141,298.167,439.908
1990-09-27,84456.531,-281.141,293.413,435.155
1990-09-28,84020.453,-436.078,215.017,434.873
1990-09-29,83766.898,-253.555,295.125,422.958
1990-09-30,83513.445,-253.453,257.833,385.616
1990-10-01,83235.273,-278.172,245.68,385.925
