site_name,datetime,release,release_pre,storage,storage_pre,inflow,release_roll7,inflow_roll7,storage_roll7,storage_x_inflow
Hoover,2015-04-16,10.789166666666668,10.43625,10148.0,10170.0,-11.210833333333332,9.723214285714286,-9.268392857142873,10228.0,-114014.17499999999
Hoover,2015-04-17,8.117083333333333,10.789166666666668,10135.0,10148.0,-4.882916666666667,9.874464285714286,-8.286369047619065,10208.857142857143,-49551.83833333333
Hoover,2015-04-18,7.159166666666667,8.117083333333333,10127.0,10135.0,-0.8408333333333333,9.427916666666668,-8.065476190476206,10191.142857142857,-8521.845833333333
Hoover,2015-04-19,7.360833333333333,7.159166666666667,10118.0,10127.0,-1.639166666666667,9.36309523809524,-6.917797619047635,10173.714285714286,-16599.84083333334
Hoover,2015-04-20,9.3775,7.360833333333333,10102.0,10118.0,-6.6225000000000005,9.08220238095238,-6.354761904761921,10157.714285714286,-67006.455
Hoover,2015-04-21,8.469999999999999,9.3775,10087.0,10102.0,-6.530000000000001,8.93095238095238,-6.898571428571445,10142.42857142857,-65966.06000000001
Hoover,2015-04-22,8.974166666666667,8.469999999999999,10070.0,10087.0,-8.025833333333333,8.815714285714286,-5.678869047619064,10126.714285714286,-80956.58083333333
Hoover,2015-04-23,10.13375,8.974166666666667,10053.0,10070.0,-6.866250000000001,8.606845238095238,-5.0582142857143015,10112.42857142857,-69143.13750000001
Hoover,2015-04-24,8.873333333333333,10.13375,10034.0,10053.0,-10.126666666666667,8.513214285714286,-5.807321428571446,10098.857142857143,-101803.38
Hoover,2015-04-25,6.50375,8.873333333333333,10033.0,10034.0,5.50375,8.62125,-4.900952380952398,10084.42857142857,55224.6275
Hoover,2015-04-26,6.755833333333333,6.50375,10022.0,10033.0,-4.244166666666667,8.527619047619048,-5.273095238095254,10071.0,-42581.72416666667
Hoover,2015-04-27,10.637916666666666,6.755833333333333,10000.0,10022.0,-11.362083333333334,8.441190476190474,-5.950178571428588,10057.285714285716,-113870.79916666668
Hoover,2015-04-28,9.276666666666667,10.637916666666666,9982.0,10000.0,-8.723333333333333,8.62125,-6.263511904761921,10042.714285714286,-87233.33333333333
Hoover,2015-04-29,12.200833333333334,9.276666666666667,9962.0,9982.0,-7.799166666666666,8.736488095238094,-6.23113095238097,10027.714285714286,-77851.28166666666
