,,elev,release_acoe,inflow_acoe,storage,release,inflow,sto_delta
fort_peck,2011-12-04,2237.15,,,15463812.50000002,10650.0,7120.0,-4378.999999996275
fort_peck,2011-12-05,2237.13,,,15459433.500000024,11260.0,7090.0,-4378.999999996275
fort_peck,2011-12-06,2237.05,,,15441917.50000004,11240.0,7020.0,-17515.9999999851
fort_peck,2011-12-07,2237.01,,,15433159.500000048,11140.0,7040.0,-8757.999999990687
fort_peck,2011-12-08,2236.93,,,15415809.399999965,11050.0,7240.0,-17350.100000083447
fort_peck,2011-12-09,2236.91,,,15411477.79999997,11150.0,7550.0,-4331.599999995902
fort_peck,2011-12-10,2236.93,,,15415809.399999965,10945.0,8050.0,4331.599999995902
fort_peck,2011-12-11,2236.78,,,15383322.400000043,11045.0,8160.0,-32486.99999992177
fort_peck,2011-12-12,2236.75,,,15376825.0,11045.0,7360.0,-6497.400000043213
fort_peck,2011-12-13,2236.71,,,15368161.800000008,11150.0,7750.0,-8663.199999991804
fort_peck,2011-12-14,2236.75,,,15376825.0,11050.0,8070.0,8663.199999991804
fort_peck,2011-12-15,2236.63,,,15350835.400000023,10960.0,8180.0,-25989.599999977276
fort_peck,2011-12-16,2236.63,,,15350835.400000023,10960.0,7890.0,0.0
fort_peck,2011-12-17,2236.61,,,15346503.800000027,10855.0,7690.0,-4331.599999995902
fort_peck,2011-12-18,2236.55,,,15333509.00000004,10755.0,7700.0,-12994.799999987707
fort_peck,2011-12-19,2236.56,,,15335674.799999988,10855.0,7680.0,2165.799999948591
fort_peck,2011-12-20,2236.55,,,15333509.00000004,10855.0,7590.0,-2165.799999948591
fort_peck,2011-12-21,2236.53,,,15329177.400000043,10755.0,7580.0,-4331.599999995902
fort_peck,2011-12-22,2236.52,,,15327011.599999996,10855.0,7170.0,-2165.800000047311
fort_peck,2011-12-23,2236.5,,,15322680.0,10955.0,6940.0,-4331.599999995902
fort_peck,2011-12-24,2236.45,,,15311850.99999996,10750.0,6970.0,-10829.000000039116
fort_peck,2011-12-25,2236.38,,,15296690.400000023,10740.0,6900.0,-15160.59999993816
