DateTime,thf_id,thf_qd,thf_af
1995-03-09,190.78,170.0,13603.44
1995-03-10,214.52,199.0,13637.65
1995-03-11,243.68,231.0,13664.78
1995-03-12,248.21,254.0,13651.81
1995-03-13,232.52,234.0,13644.73
1995-03-14,207.9,223.0,13616.42
1995-03-15,363.35,289.0,13713.15
1995-03-16,344.44,335.0,13733.21
1995-03-17,299.43,312.0,13706.07
1995-03-18,295.21,296.0,13706.07
1995-03-19,304.4,308.0,13699.0
1995-03-20,297.9,295.0,13706.07
1995-03-21,291.33,294.0,13699.0
1995-03-22,270.12,280.0,13678.94
1995-03-23,300.69,290.0,13699.0
1995-03-24,294.67,309.0,13678.94
1995-03-25,270.72,281.0,13657.71
1995-03-26,241.05,250.0,13637.65
1995-03-27,223.46,230.0,13623.49
1995-03-28,208.81,206.0,13616.42
1995-03-29,173.2,182.0,13596.36
1995-03-30,186.08,178.0,13610.52
1995-03-31,171.33,171.0,13610.52
1995-04-01,151.17,168.0,13576.31
1995-04-02,163.23,157.0,13589.28
1995-04-03,165.43,155.0,13610.52
1995-04-04,150.34,158.0,13596.36
1995-04-05,167.51,154.0,13603.44
1995-04-06,164.73,162.0,13610.52
1995-04-07,223.19,199.0,13664.78
1995-04-08,272.07,286.0,13678.94
1995-04-11,334.45,325.0,13740.29
1995-04-12,354.57,346.0,13760.34
1995-04-13,365.62,366.0,13760.34
1995-04-14,368.49,371.0,13754.44
1995-04-15,365.67,362.0,13760.34
1995-04-16,344.24,350.0,13747.36
1995-04-17,337.59,337.0,13747.36
1995-04-18,308.08,329.0,13706.07
1995-04-19,288.68,297.0,13686.02
1995-04-20,253.79,266.0,13657.71
1995-04-21,236.07,240.0,13644.73
1995-04-22,191.88,207.0,13610.52
1995-04-23,174.77,171.0,13616.42
1995-04-24,155.38,162.0,13603.44
1995-04-25,127.57,150.0,13555.07
1995-04-26,119.06,119.0,13555.07
1995-04-27,130.72,125.0,13569.23
1995-04-28,155.44,150.0,13582.2
1995-04-29,241.32,209.0,13657.71
1995-04-30,330.31,304.0,13713.15
1995-05-01,328.8,323.0,13727.31
1995-05-02,430.08,403.0,13788.65
1995-05-03,407.7,410.0,13781.57
1995-05-04,378.29,385.0,13767.42
1995-05-05,383.71,391.0,13754.44
1995-05-06,416.41,401.0,13788.65
1995-05-07,426.98,425.0,13788.65
1995-05-08,431.36,419.0,13815.79
1995-05-09,482.38,460.0,13864.15
1995-05-10,543.36,529.0,13898.37
1995-05-11,609.8,603.0,13918.42
1995-05-12,583.85,597.0,13884.21
1995-05-13,502.86,523.0,13835.84
1995-05-14,443.17,447.0,13822.86
1995-05-15,395.59,404.0,13801.63
1995-05-16,363.32,369.0,13788.65
1995-05-17,379.4,384.0,13781.57
1995-05-18,441.33,417.0,13808.71
1995-05-19,486.98,464.0,13857.08
1995-05-20,461.74,468.0,13842.92
1995-05-21,451.31,457.0,13829.94
1995-05-22,440.85,447.0,13815.79
1995-05-23,361.81,386.0,13760.34
1995-05-24,328.72,331.0,13754.44
1995-05-25,300.08,313.0,13727.31
1995-05-26,268.29,287.0,13686.02
