DateTime,isl_id,isl_qd,isl_af
2003-08-14,669.4,404.2,40770.62
2003-08-15,630.72,402.52,39324.11
2003-08-16,695.9,400.89,37987.05
2003-08-17,751.0,399.11,36779.12
2003-08-18,665.68,397.36,35421.8
2003-08-19,646.37,395.56,34065.84
2003-08-20,769.86,283.15,33054.0
2003-08-21,517.68,290.49,31581.63
2003-08-22,729.19,392.03,30489.11
2003-08-23,592.5,866.97,29284.16
2003-08-24,639.17,1205.49,28171.78
2003-08-25,619.12,1255.1,26960.12
2003-08-26,626.07,1246.46,25801.92
2003-08-27,620.16,1238.72,24631.99
2003-08-28,691.5,1230.56,23583.73
2003-08-29,657.44,1222.23,22448.08
2003-08-30,703.95,1213.61,21384.85
2003-08-31,658.9,1204.75,20311.6
2003-09-01,661.74,1195.58,19263.82
2003-09-02,647.2,1090.59,18365.7
2003-09-03,643.91,975.02,17679.24
2003-09-04,635.79,969.13,16980.65
2003-09-05,644.91,963.01,16300.15
2003-09-06,686.2,956.97,15657.9
2003-09-07,688.25,951.03,15041.53
2003-09-08,696.88,874.93,14583.12
2003-09-09,634.87,766.81,14182.21
2003-09-10,603.23,646.4,13990.26
2003-09-11,560.1,636.02,13734.6
2003-09-12,533.67,633.98,13440.39
2003-09-13,522.4,631.64,13141.67
2003-09-14,507.23,629.29,12808.9
2003-09-15,533.67,626.82,12534.52
2003-09-16,443.93,624.56,12100.01
2003-09-17,521.09,542.21,11977.21
2003-09-18,473.2,397.36,12058.93
2003-09-19,465.57,343.65,12256.42
2003-09-20,456.84,344.49,12444.54
2003-09-21,436.88,345.21,12595.04
2003-09-22,428.76,345.78,12737.38
2003-09-23,429.67,346.51,12891.43
2003-09-24,414.9,346.99,13016.2
2003-09-25,431.37,347.57,13173.62
2003-09-26,397.53,348.16,13279.79
2003-09-27,407.25,348.51,13397.31
2003-09-28,409.38,349.0,13526.98
2003-09-29,398.35,349.48,13646.69
2003-09-30,391.32,349.88,13734.6
2003-10-01,405.58,259.41,14035.25
2003-10-02,393.33,189.45,14482.18
2003-10-03,415.9,189.7,14960.0
2003-10-04,384.9,190.59,15370.38
2003-10-05,368.98,191.38,15743.23
2003-10-06,397.74,192.06,16175.12
2003-10-07,403.63,192.91,16604.79
2003-10-08,409.12,193.64,17031.47
2003-10-09,398.09,194.48,17430.32
2003-10-10,483.25,195.31,17972.31
2003-10-11,433.19,196.0,18393.19
2003-10-12,403.73,196.65,18781.42
2003-10-13,437.75,197.27,19221.25
2003-10-14,427.13,197.9,19636.05
2003-10-15,444.6,198.47,20103.35
2003-10-16,377.87,199.07,20446.23
2003-10-17,402.18,199.61,20841.3
2003-10-18,404.73,200.16,21259.28
2003-10-19,397.88,200.71,21653.75
2003-10-20,392.17,201.2,22038.89
2003-10-21,395.48,155.71,22547.62
2003-10-22,361.06,63.67,23256.04
2003-10-23,318.02,924.34,23881.67
2003-10-24,408.17,1595.16,24686.11
2003-10-25,355.82,1602.04,25386.71
2003-10-26,377.37,1609.0,26130.06
2003-10-27,360.42,1615.03,26839.79
2003-10-28,391.38,1620.85,27610.93
2003-10-29,327.87,1627.37,28255.89
2003-10-30,302.63,1631.04,28850.8
2003-10-31,364.68,1636.35,29568.77
2003-11-01,317.22,1641.39,30192.62
2003-11-02,337.23,1646.06,30856.15
2003-11-03,380.7,1650.71,31605.91
2003-11-04,328.58,1655.66,32252.09
2003-11-05,322.47,1660.1,32886.15
2003-11-06,329.39,1664.13,33533.94
2003-11-07,347.83,1668.47,34218.3
2003-11-08,303.37,1672.54,34814.48
2003-11-09,349.14,1676.61,35501.23
2003-11-10,342.6,1680.67,36175.02
2003-11-11,362.7,1684.89,36888.68
2003-11-12,341.98,1688.87,37561.24
2003-11-13,348.14,1692.73,38246.02
2003-11-14,309.78,1696.2,38854.71
2003-11-15,344.66,1699.75,39532.59
2003-11-16,442.43,1703.5,40404.39
2003-11-17,296.93,1707.68,40987.58
2003-11-18,333.07,1710.73,41642.46
2003-11-19,321.92,1713.87,42275.02
2003-11-20,343.54,1717.28,42950.47
2003-11-21,332.76,1720.37,43604.53
2003-11-22,320.5,1723.48,44234.29
2003-11-23,308.53,1726.29,44840.11
2003-11-24,381.23,1729.31,45590.12
2003-11-25,282.79,1732.12,46144.68
2003-11-26,357.48,1735.29,46847.38
2003-11-27,308.88,1738.19,47453.48
2003-11-28,350.16,1740.9,48141.27
2003-11-29,317.97,1743.73,48765.02
2003-11-30,322.05,1746.28,49396.86
2003-12-01,307.55,1748.96,49999.93
2003-12-02,330.12,1751.63,50647.77
2003-12-03,373.6,1754.34,51381.85
2003-12-04,280.11,1756.92,51930.29
2003-12-05,342.83,1759.42,52603.14
2003-12-06,409.01,1762.26,53407.06
2003-12-07,435.44,1765.66,54263.41
2003-12-08,65.6,675.71,54385.98
2003-12-09,717.03,34.89,55800.65
2003-12-10,344.33,34.96,56475.88
2003-12-11,306.05,35.0,57075.18
2003-12-12,374.66,35.04,57810.38
2003-12-13,379.47,35.08,58555.11
2003-12-14,407.39,35.13,59355.23
2003-12-15,298.32,35.17,59938.8
2003-12-16,347.25,35.2,60619.43
2003-12-17,281.86,35.24,61170.35
2003-12-18,284.42,35.27,61726.35
2003-12-19,334.34,35.3,62381.37
2003-12-20,288.78,35.34,62946.03
2003-12-21,389.28,35.37,63710.03
2003-12-22,268.63,35.41,64234.71
2003-12-23,320.85,35.44,64862.98
2003-12-24,297.5,35.47,65444.93
2003-12-25,375.44,35.5,66181.47
2003-12-26,375.77,51.09,66629.28
2003-12-27,279.28,44.43,66729.0
2003-12-28,357.31,44.44,66977.54
2003-12-29,559.04,44.47,67630.19
2003-12-30,302.17,44.5,67783.25
2003-12-31,401.62,44.52,68137.54
2004-01-01,422.99,44.54,68546.11
2004-01-02,245.46,44.55,68598.59
2004-01-03,301.98,44.56,68751.27
2004-01-04,330.79,44.57,68957.13
2004-01-05,353.49,44.59,69213.97
2004-01-06,282.22,44.6,69317.55
2004-01-07,404.94,44.61,69682.38
2004-01-08,328.15,44.63,69890.95
2004-01-09,356.28,44.64,70151.34
2004-01-10,283.89,44.65,70256.24
2004-01-11,335.06,44.66,70466.61
2004-01-12,310.07,44.67,70623.45
2004-01-13,293.59,44.68,70783.3
2004-01-14,300.81,44.69,70995.16
2004-01-15,275.71,44.71,71153.26
2004-01-16,434.43,44.73,71632.12
2004-01-17,274.7,44.75,71794.16
2004-01-18,304.38,44.76,72009.13
2004-01-19,324.26,44.77,72277.41
2004-01-20,294.07,44.79,72493.74
2004-01-21,382.03,44.8,72872.65
2004-01-22,283.15,44.82,73037.58
2004-01-23,303.22,44.83,73256.19
2004-01-24,439.56,44.84,73749.2
2004-01-25,383.28,44.88,74130.59
2004-01-26,300.11,44.89,74347.01
2004-01-27,356.28,44.91,74672.85
2004-01-28,354.96,44.93,75000.04
2004-01-29,379.75,44.95,75382.36
2004-01-30,436.78,44.98,75879.77
2004-01-31,188.0,44.99,75879.77
2004-02-01,216.19,44.99,75933.7
2004-02-02,524.3,45.01,76600.74
2004-02-03,299.75,45.04,76824.37
2004-02-04,331.68,45.05,77103.4
2004-02-05,470.35,45.08,77667.4
2004-02-06,331.64,45.1,77952.31
2004-02-07,361.86,45.12,78291.21
2004-02-08,280.07,45.13,78463.92
2004-02-09,306.48,45.14,78692.98
2004-02-10,337.14,45.16,78978.88
2004-02-11,316.25,45.17,79209.45
2004-02-12,323.58,45.19,79440.69
2004-02-13,324.92,45.2,79672.6
2004-02-14,295.2,45.21,79845.56
2004-02-15,348.67,45.23,80138.46
2004-02-16,312.95,45.24,80372.41
2004-02-17,395.57,45.26,80782.13
2004-02-18,425.14,45.29,81254.47
