DateTime,Inflow_cfs,Release_cfs,Storage_acft,Gain_cfs
2004-09-26,709.53,,401191.0,381.53
2004-09-27,855.26,,401191.0,535.26
2004-09-28,658.14,,400789.0,344.14
2004-09-29,755.76,,400578.0,447.76
2004-09-30,757.93,,400377.0,456.93
2004-10-01,,,399754.0,
2004-10-02,751.68,,399553.0,452.68
2004-10-03,640.11,,399142.0,357.11
2004-10-04,530.57,,398520.0,258.57
2004-10-05,663.49,,398109.0,403.49
2004-10-06,590.5,,397498.0,340.5
2004-10-07,691.45,,397088.0,450.45
2004-10-08,281.45,,395858.0,52.45
2004-10-09,896.4,,395858.0,679.4
2004-10-10,489.08,,395039.0,282.08
2004-10-11,470.21,,394221.0,273.21
2004-10-12,644.82,,394021.0,455.82
2004-10-13,329.28,,393613.0,149.28
2004-10-14,453.91,,393812.0,282.91
2004-10-15,50.12,,393613.0,-113.88
2004-10-16,562.23,,394430.0,404.23
2004-10-17,150.98,,394430.0,-1.02
2004-10-18,794.12,,395658.0,644.12
2004-10-19,819.31,,396877.0,672.31
2004-10-20,303.31,,397088.0,147.31
2004-10-21,302.47,,397288.0,126.47
2004-10-22,411.65,,397698.0,244.65
2004-10-23,931.97,,399142.0,764.97
2004-10-24,410.85,,399553.0,249.85
2004-10-25,202.79,,399553.0,51.79
2004-10-26,408.39,,399965.0,265.39
2004-10-27,300.86,,400166.0,167.86
2004-10-28,515.51,,400789.0,388.51
2004-10-29,199.53,,400789.0,76.53
2004-10-30,711.2,,401815.0,592.2
2004-10-31,194.53,,401815.0,77.53
2004-11-01,192.74,,401815.0,79.74
2004-11-02,397.91,,402228.0,289.91
2004-11-03,711.81,,403256.0,602.81
2004-11-04,200.42,,403256.0,96.42
2004-11-05,199.71,,403256.0,98.71
2004-11-06,305.5,,403468.0,207.5
2004-11-07,197.59,,403468.0,101.59
2004-11-08,302.14,,403670.0,208.14
2004-11-09,308.68,,403881.0,215.68
2004-11-10,201.61,,403881.0,109.61
2004-11-11,302.93,,404083.0,210.93
2004-11-12,200.37,,404083.0,108.37
2004-11-13,306.45,,404295.0,214.45
2004-11-14,93.11,,404083.0,2.11
2004-11-15,307.17,,404295.0,217.17
2004-11-16,200.08,,404295.0,112.08
2004-11-17,198.22,,404295.0,110.22
2004-11-18,196.93,,404295.0,110.93
2004-11-19,404.96,,404709.0,319.96
2004-11-20,-13.84,,404295.0,-96.84
2004-11-21,-121.01,,403670.0,-200.01
2004-11-22,193.57,,403670.0,117.57
2004-11-23,197.11,,403670.0,122.11
2004-11-24,200.29,,403670.0,124.29
2004-11-25,616.8,,404497.0,536.8
2004-11-26,96.99,,404295.0,15.99
2004-11-27,509.5,,404912.0,430.5
2004-11-28,-108.21,,404295.0,-184.21
